Time Pu238 Pu239 Pu240 Pu241 Pu242
0.3333333333333333 0.912778616097 62.1645165935 19.531997021 10.5029887041 6.88771906537 
4.833333333333333 0.912778616097 62.1645165935 19.531997021 10.5029887041 6.88771906537 
9.333333333333334 0.912778616097 62.1645165935 19.531997021 10.5029887041 6.88771906537 
13.833333333333334 0.912778616097 62.1645165935 19.531997021 10.5029887041 6.88771906537 
18.333333333333332 0.912778616097 62.1645165935 19.531997021 10.5029887041 6.88771906537 
22.833333333333332 0.88702545582 62.1806733969 19.5370734642 10.5057184723 6.88950921077 
27.333333333333332 0.0991627638523 62.6758757998 19.6859405175 10.5924295987 6.94659132015 
31.833333333333332 0.196336652194 62.6252249824 19.594612532 10.6180119432 6.96581389021 
36.333333333333336 0.133857755784 62.6659592143 19.5961741355 10.6299812345 6.97402765989 
40.833333333333336 0.208096537444 62.6287283874 19.5161471289 10.6546237952 6.99240415114 
45.333333333333336 0.281424635063 62.591296976 19.4417015797 10.6766771862 7.00889962303 
49.833333333333336 0.349067850428 62.5566982582 19.373339585 10.6968800239 7.02401428247 
54.333333333333336 0.410938627344 62.5247614236 19.3104752656 10.7157095046 7.03811517886 
58.833333333333336 0.440942080275 62.494436781 19.263613759 10.7420751273 7.05893225237 
63.333333333333336 0.487592102202 62.4674313238 19.212529983 10.7597257721 7.07272081899 
67.83333333333333 0.504129127322 62.4417281819 19.1748650045 10.7848385234 7.09443916294 
72.33333333333333 0.527228854572 62.4180401154 19.1368585004 10.8053311933 7.1125413363 
76.83333333333333 0.545493610756 62.396401997 19.1002643943 10.8250968046 7.13274319337 
81.33333333333333 0.561924572683 62.3769943052 19.0672438639 10.8431640639 7.15067319435 
85.83333333333333 0.583243182427 62.360935708 19.0304155815 10.8571427522 7.1682627759 
90.33333333333333 0.601258714689 62.34676821 18.9978901062 10.8702406569 7.1838423121 
94.83333333333333 0.623852556013 62.3344310266 18.9619848515 10.8800448097 7.19968675622 
99.33333333333333 0.643253479462 62.3232580506 18.9301832569 10.8893934316 7.21391178152 
103.83333333333333 0.665255002798 62.312473572 18.8963072787 10.8966559348 7.2293082117 
108.33333333333333 0.684534155464 62.302687708 18.8661352929 10.9035788951 7.2430639486 
112.83333333333333 0.704759550872 62.292979126 18.8347292426 10.9090789874 7.25845309316 
117.33333333333333 0.723009002756 62.2842936127 18.8065193474 10.9142064603 7.27197157683 
121.83333333333333 0.741687266962 62.2756545078 18.777380575 10.9181840492 7.28709360109 
126.33333333333333 0.758726374246 62.2679770456 18.7511159476 10.9218548491 7.30032578339 
130.83333333333334 0.776619025045 62.2606283558 18.7237956041 10.9243095462 7.31464746885 
135.33333333333334 0.792667470968 62.2539313248 18.6992984114 10.9267082385 7.32739455428 
139.83333333333334 0.809730180898 62.2475832976 18.6737379409 10.9279378066 7.34101077402 
144.33333333333334 0.825013410047 62.2417984625 18.6508247204 10.9292177156 7.35314569148 
148.83333333333334 0.841274959335 62.2362809155 18.6269077965 10.929428557 7.3661077716 
153.33333333333334 0.855815983994 62.2312643008 18.6054767088 10.9297789904 7.37766401596 
157.83333333333334 0.871152981145 62.2263929279 18.5831584262 10.9291975763 7.39009808843 
162.33333333333334 0.884960530825 62.2219428983 18.563031826 10.9288128238 7.40125192115 
166.83333333333334 0.899697217836 62.2176353178 18.5420021024 10.9275092196 7.4131561424 
171.33333333333334 0.912752574627 62.2136968549 18.5232098847 10.9265071791 7.42383350663 
175.83333333333334 0.926758999334 62.2098749849 18.5035415025 10.9246404651 7.43518404826 
180.33333333333334 0.939283095012 62.2064231632 18.4859187068 10.9230765137 7.44529852135 
184.83333333333334 0.952583961578 62.2029988053 18.4674799046 10.9207517083 7.45618562027 
189.33333333333334 0.964599808012 62.1998959613 18.4508349567 10.9187100647 7.46595920929 
193.83333333333334 0.976557118095 62.197297576 18.434301283 10.9162311922 7.47561283062 
198.33333333333334 0.988205727937 62.1955497079 18.4181193301 10.9133539934 7.48477124069 
202.83333333333334 1.00000572511 62.1969589463 18.4011621488 10.9090365712 7.49283660858 
207.33333333333334 1.01035683476 62.1982732723 18.3860558503 10.905279378 7.50003466468 
211.83333333333334 1.0213429933 62.1991970113 18.3703820938 10.9010632318 7.5080146698 
216.33333333333334 1.03132105837 62.200067022 18.3563172945 10.8973140998 7.51498052532 
220.83333333333334 1.0419396858 62.2007917642 18.3416554386 10.8930547026 7.52255840878 
225.33333333333334 1.05133574936 62.2014917634 18.3285758414 10.8893146702 7.52928197558 
229.83333333333334 1.06144249559 62.2019167199 18.3148971505 10.8851091049 7.53663452916 
234.33333333333334 1.0704451856 62.2023692279 18.302716054 10.8814070407 7.54306249187 
238.83333333333334 1.08003208284 62.2025997721 18.290004075 10.8772904257 7.55007364435 
243.33333333333334 1.08854404392 62.2028572661 18.2786651267 10.8736632166 7.55627034661 
247.83333333333334 1.09764817224 62.2030799882 18.2668116045 10.8696138066 7.56284642841 
252.33333333333334 1.10568354125 62.2032770607 18.2562821687 10.8660695756 7.56868765373 
256.8333333333333 1.11428807171 62.2034660255 18.2452686207 10.8621277435 7.57484953858 
261.3333333333333 1.12187808368 62.2036335799 18.2354600759 10.8586646166 7.58036364397 
265.8333333333333 1.1299230487 62.2037810275 18.2252315311 10.8548555641 7.58620882863 
270.3333333333333 1.13711567329 62.2039179905 18.2161093268 10.8514879275 7.59136908197 
274.8333333333333 1.14483097031 62.2040481968 18.2065478191 10.8477659777 7.5968070361 
279.3333333333333 1.151617582 62.2041550613 18.1980421892 10.8444967354 7.60168843205 
