Time Pu238 Pu239 Pu240 Pu241 Pu242
0.3333333333333333 1.23000218868 62.2010495322 19.3552821795 10.3963698646 6.81729623511 
4.833333333333333 1.23000218868 62.2010495322 19.3552821795 10.3963698646 6.81729623511 
9.333333333333334 1.23000218868 62.2010495322 19.3552821795 10.3963698646 6.81729623511 
13.833333333333334 1.23000218868 62.2010495322 19.3552821795 10.3963698646 6.81729623511 
18.333333333333332 1.23000218868 62.2010495322 19.3552821795 10.3963698646 6.81729623511 
22.833333333333332 1.23000218868 62.2010495322 19.3552821795 10.3963698646 6.81729623511 
27.333333333333332 1.22998400049 62.201141736 19.3552201609 10.3964154496 6.81723865299 
31.833333333333332 1.22982475363 62.2019490271 19.3546771571 10.3968145698 6.81673449233 
36.333333333333336 1.22972518165 62.2024538004 19.3543376342 10.397064127 6.81641925679 
40.833333333333336 1.22966292267 62.2027694181 19.354125342 10.3972201666 6.81622215067 
45.333333333333336 1.22962399428 62.2029667629 19.353992603 10.3973177328 6.81609890704 
49.833333333333336 1.22959965373 62.2030901556 19.353909606 10.3973787374 6.81602184714 
54.333333333333336 1.22958443446 62.2031673087 19.353857711 10.3974168815 6.81597366433 
58.833333333333336 1.22957491839 62.2032155498 19.3538252629 10.3974407316 6.81594353735 
63.333333333333336 1.22956896833 62.2032457132 19.3538049742 10.3974556442 6.81592470003 
67.83333333333333 1.22956524798 62.2032645733 19.3537922885 10.3974649685 6.81591292174 
72.33333333333333 1.22956292177 62.2032763658 19.3537843565 10.3974707987 6.8159055572 
76.83333333333333 1.22956146728 62.2032837393 19.353779397 10.3974744441 6.81590095241 
81.33333333333333 1.22956055784 62.2032883496 19.3537762959 10.3974767234 6.81589807321 
85.83333333333333 1.2295599892 62.2032912323 19.353774357 10.3974781486 6.81589627295 
90.33333333333333 1.22955963365 62.2032930347 19.3537731446 10.3974790397 6.81589514731 
94.83333333333333 1.22955941134 62.2032941617 19.3537723865 10.3974795969 6.81589444349 
99.33333333333333 1.22955927233 62.2032948664 19.3537719126 10.3974799453 6.81589400342 
103.83333333333333 1.22955918542 62.203295307 19.3537716162 10.3974801631 6.81589372825 
108.33333333333333 1.22955913108 62.2032955825 19.3537714309 10.3974802993 6.8158935562 
112.83333333333333 1.2295590971 62.2032957547 19.353771315 10.3974803845 6.81589344863 
117.33333333333333 1.22955907585 62.2032958625 19.3537712426 10.3974804377 6.81589338136 
121.83333333333333 1.22955906257 62.2032959298 19.3537711973 10.397480471 6.81589333931 
126.33333333333333 1.22955905426 62.2032959719 19.353771169 10.3974804919 6.81589331301 
130.83333333333334 1.22955904907 62.2032959982 19.3537711513 10.3974805049 6.81589329657 
135.33333333333334 1.22955904582 62.2032960147 19.3537711402 10.397480513 6.81589328629 
139.83333333333334 1.22955904379 62.203296025 19.3537711333 10.3974805181 6.81589327986 
144.33333333333334 1.22955904252 62.2032960314 19.3537711289 10.3974805213 6.81589327584 
148.83333333333334 1.22955904172 62.2032960355 19.3537711262 10.3974805233 6.81589327333 
153.33333333333334 1.22955904123 62.203296038 19.3537711245 10.3974805245 6.81589327175 
157.83333333333334 1.22955904092 62.2032960395 19.3537711235 10.3974805253 6.81589327077 
162.33333333333334 1.22955904072 62.2032960405 19.3537711228 10.3974805258 6.81589327016 
166.83333333333334 1.2295590406 62.2032960411 19.3537711224 10.3974805261 6.81589326977 
171.33333333333334 1.22955904053 62.2032960415 19.3537711221 10.3974805263 6.81589326953 
175.83333333333334 1.22955904048 62.2032960418 19.353771122 10.3974805264 6.81589326938 
180.33333333333334 1.22955904045 62.2032960419 19.3537711219 10.3974805265 6.81589326929 
184.83333333333334 1.22955904043 62.203296042 19.3537711218 10.3974805265 6.81589326923 
189.33333333333334 1.22955904042 62.2032960421 19.3537711218 10.3974805265 6.81589326919 
193.83333333333334 1.22955904041 62.2032960421 19.3537711218 10.3974805266 6.81589326917 
198.33333333333334 1.22955904041 62.2032960421 19.3537711217 10.3974805266 6.81589326916 
202.83333333333334 1.2295590404 62.2032960421 19.3537711217 10.3974805266 6.81589326915 
207.33333333333334 1.229681024 62.2026776546 19.3541870644 10.3971747992 6.8162794578 
211.83333333333334 1.22963531241 62.2029093864 19.3540311959 10.3972893661 6.81613473918 
216.33333333333334 1.22960673056 62.2030542802 19.3539337368 10.3973610008 6.81604425171 
220.83333333333334 1.22958885934 62.2031448771 19.3538727991 10.3974057914 6.81598767311 
225.33333333333334 1.22957768511 62.2032015241 19.3538346969 10.3974337974 6.81595229653 
229.83333333333334 1.22957069826 62.2032369434 19.353810873 10.3974513085 6.81593017683 
234.33333333333334 1.22956632964 62.2032590899 19.3537959767 10.3974622576 6.81591634618 
238.83333333333334 1.2295635981 62.2032729372 19.3537866627 10.3974691036 6.81590769838 
243.33333333333334 1.22956189016 62.2032815955 19.3537808389 10.3974733842 6.81590229122 
247.83333333333334 1.22956082225 62.2032870092 19.3537771975 10.3974760607 6.81589891032 
252.33333333333334 1.22956015453 62.2032903942 19.3537749207 10.3974777342 6.81589679636 
256.8333333333333 1.22955973702 62.2032925107 19.3537734971 10.3974787806 6.81589547458 
261.3333333333333 1.22955947597 62.2032938341 19.3537726069 10.3974794349 6.81589464812 
265.8333333333333 1.22955931275 62.2032946615 19.3537720504 10.397479844 6.81589413136 
270.3333333333333 1.22955921069 62.2032951789 19.3537717024 10.3974800998 6.81589380825 
274.8333333333333 1.22955914688 62.2032955024 19.3537714848 10.3974802597 6.81589360623 
279.3333333333333 1.22955910698 62.2032957047 19.3537713487 10.3974803597 6.8158934799 
283.8333333333333 1.22955908203 62.2032958311 19.3537712637 10.3974804223 6.81589340092 
