Time Pu238 Pu239 Pu240 Pu241 Pu242 Am241
4.833333333333333 2.72840176191 41.3722614415 26.8426709821 16.2260479852 10.889937258 1.94068057125 
9.333333333333334 3.33953084217 42.1025298608 26.5316890921 15.3337656784 10.3101835879 2.38230093866 
13.833333333333334 3.78875149286 42.7982851381 26.2295023013 14.5208811395 9.88901436801 2.77356556026 
18.333333333333332 4.12371319567 43.424907358 25.9762843419 13.7916812491 9.5730977325 3.11031612284 
22.833333333333332 4.32072253427 43.9596324495 25.7726797792 13.2392741899 9.35065318138 3.35703786575 
27.333333333333332 4.36355814368 44.065077715 25.7289901545 13.1256766887 9.30732470079 3.40937259732 
31.833333333333332 4.11060887384 44.2079105724 25.8869291553 13.1303581462 9.36642683442 3.2977664179 
36.333333333333336 4.42900522992 44.3424820605 25.9657833556 13.0011140216 9.26742132455 2.9941940079 
40.833333333333336 4.61686329985 44.841872875 25.819199025 12.6328474412 8.97005497319 3.11916238581 
45.333333333333336 4.8318656274 44.7135082206 26.0336634716 12.9742221522 8.74257843186 2.7041620963 
49.833333333333336 4.92620778106 44.8139720221 26.1022421167 13.0927935559 8.53577064898 2.52901387527 
54.333333333333336 4.9768437691 44.9721870718 26.065976566 12.9538355069 8.46293492797 2.56822215822 
58.833333333333336 4.95817796054 44.9226860278 26.1486919707 13.1200369536 8.39086738524 2.4595397021 
63.333333333333336 4.99201954241 44.9998216552 26.1501496371 13.0836751433 8.31396430919 2.46036971273 
67.83333333333333 4.99231480301 44.9809342617 26.2044767301 13.176603422 8.23933771375 2.40633306947 
72.33333333333333 5.0329936971 45.1670708734 26.1755927981 13.062011591 8.12056981542 2.44176122506 
76.83333333333333 5.09549277044 45.1043794788 26.2288430095 13.165486052 7.99019175167 2.41560693756 
81.33333333333333 5.13713320223 45.2771900698 26.2060356794 13.055779178 7.87112635032 2.45273552023 
85.83333333333333 5.17147088942 45.1785666852 26.2681263215 13.1670201373 7.78405873141 2.43075723511 
90.33333333333333 5.21160360939 45.3526556496 26.2259204252 13.0521062932 7.68277866742 2.47493535521 
94.83333333333333 5.22408424758 45.260191076 26.2701501785 13.1577627484 7.63767371271 2.4501380368 
99.33333333333333 5.25175112844 45.4027744927 26.2441448532 13.0493263945 7.55807229777 2.49393083339 
103.83333333333333 5.25933808742 45.3108284738 26.2916929117 13.1570300664 7.51612395003 2.46498651072 
108.33333333333333 5.29332818683 45.3993752227 26.2723255325 13.083433277 7.45009748323 2.50144029778 
112.83333333333333 5.2996621338 45.3837983113 26.3076819695 13.1526698707 7.38016496685 2.47602274788 
117.33333333333333 5.32619084729 45.3467852809 26.3363456793 13.199352126 7.32145711711 2.46986894936 
121.83333333333333 5.34695512153 45.5521364273 26.2908512672 13.0324163264 7.24687678866 2.53076406885 
126.33333333333333 5.36040199712 45.4517696248 26.3427867853 13.1462484416 7.20256606469 2.49622708653 
130.83333333333334 5.38747593775 45.3605533955 26.370958289 13.2283774501 7.17287382111 2.47976110652 
135.33333333333334 5.40599665148 45.5713738416 26.3215556091 13.0634654925 7.09966989742 2.53793850798 
139.83333333333334 5.40777312039 45.5424282642 26.3468288441 13.1318741347 7.06090815345 2.51018748311 
144.33333333333334 5.42812379008 45.4804187759 26.3717153805 13.1797966738 7.03621173062 2.50373364903 
148.83333333333334 5.43990160589 45.6965137857 26.3236704161 13.0176148783 6.96320770422 2.55909160976 
153.33333333333334 5.45307737201 45.5822546291 26.3656505874 13.1261075825 6.94435425252 2.5285555765 
157.83333333333334 5.47015445801 45.5305999271 26.3900780719 13.1718595883 6.91725813956 2.52004981506 
162.33333333333334 5.47523520201 45.7518217534 26.3430369921 13.0120546512 6.84624094528 2.57161045607 
166.83333333333334 5.49353211576 45.6288210088 26.3792826986 13.1176520923 6.83745162282 2.54326046176 
171.33333333333334 5.50230932583 45.6176211013 26.4008151753 13.1293010155 6.80774580596 2.5422075761 
175.83333333333334 5.50721119575 45.7813821034 26.3683986029 13.0090728107 6.74984933022 2.58408595713 
180.33333333333334 5.52247730981 45.6846412759 26.3885453326 13.1078143331 6.74315209639 2.5533696522 
184.83333333333334 5.52899632791 45.6907176719 26.3975359918 13.1022576728 6.72017475632 2.56031757924 
189.33333333333334 5.52505538564 45.7075907207 26.4135976011 13.1213200123 6.68629795442 2.54613832574 
193.83333333333334 5.54664824801 45.7925542077 26.386446334 13.044189324 6.64857247355 2.58158941269 
198.33333333333334 5.54764422756 45.7401102884 26.4107433752 13.1086092372 6.63604913476 2.55684373691 
202.83333333333334 5.554275786 45.6950507074 26.4309496394 13.1520176061 6.62272213767 2.54498412346 
207.33333333333334 5.55890492605 45.8335797126 26.4001351747 13.034017259 6.58164036735 2.59172256034 
211.83333333333334 5.5579767822 45.7846611286 26.4227144659 13.1048685302 6.56900986607 2.56076922702 
216.33333333333334 5.56617752642 45.7340326613 26.4422829426 13.148340175 6.55953820409 2.54962849056 
220.83333333333334 5.57530590089 45.8663863681 26.4101535799 13.0329539152 6.51933021684 2.59587001915 
225.33333333333334 5.57390784516 45.8035438824 26.4333782429 13.1010783079 6.51788853996 2.5702031818 
229.83333333333334 5.58126424778 45.7487925436 26.4533856911 13.1483310834 6.51096340084 2.55726303328 
234.33333333333334 5.5822539849 45.8949874513 26.4243064616 13.0317137859 6.46619888992 2.60053942639 
238.83333333333334 5.58736477817 45.8372198974 26.4376351969 13.0912662033 6.46688502749 2.57962889674 
243.33333333333334 5.58683734646 45.8448813154 26.4430107204 13.1018746231 6.45086236721 2.57253362745 
