Time Pu238 Pu239 Pu240 Pu241 Pu242 Am241
0.3333333333333333 0.905445285424 62.1692864541 19.5331353009 10.3823584661 6.88829200969 0.12148248376 
4.833333333333333 0.804475851274 62.2407310283 19.5488754598 8.37258349483 6.89703647086 2.13629769497 
9.333333333333334 0.723020519725 62.30795373 19.5633078062 6.75847583657 6.90531002769 3.74193207975 
13.833333333333334 0.656358422516 62.372294677 19.5768461297 5.45630517939 6.91327262185 5.02492296957 
18.333333333333332 0.621996222861 62.4162447393 19.5852861989 4.60114126201 6.91885550749 5.85647606946 
22.833333333333332 0.610677230366 62.4315003338 19.5884479387 4.40862915106 6.92076455636 6.03998078978 
27.333333333333332 0.449217086335 62.8975844479 19.6804071327 4.09239557849 7.04501655232 5.83537920231 
31.833333333333332 1.28924763741 63.3538922134 19.6129669481 3.43966725587 7.13586824752 5.16835769763 
36.333333333333336 1.34875293981 63.6617592431 19.5500745234 2.76325606327 6.99821818388 5.6779390466 
40.833333333333336 2.13191067306 64.4543612855 19.3217136505 2.70116107949 6.76364073887 4.62721257255 
45.333333333333336 2.490629065 65.0067008514 19.1550037212 2.59163581696 6.5738626647 4.18216788073 
49.833333333333336 2.484113183 65.1314217287 19.1443964017 2.29297067925 6.56414153878 4.38295646858 
54.333333333333336 2.60734672449 65.4365891123 19.0668703403 2.35696005956 6.4563526936 4.07588106979 
58.833333333333336 2.62455884318 65.5907662918 19.0554254388 2.17835399674 6.40795970165 4.14293572785 
63.333333333333336 2.70454244077 65.7368038599 19.0386513831 2.23111115668 6.31202612573 3.97686503374 
67.83333333333333 2.70154275572 65.8350890741 19.0489862375 2.04709921603 6.24480435907 4.12247835766 
72.33333333333333 2.8006865675 65.8924485434 19.0656936423 2.12610794692 6.07675352684 4.03830977302 
76.83333333333333 2.79813638239 65.9892051649 19.0716377093 1.95088309647 6.00269116151 4.18744648544 
81.33333333333333 2.86465376533 66.0106219551 19.0931019815 2.05548821957 5.86824679423 4.10788728429 
85.83333333333333 2.84063218752 66.0688078454 19.111584324 1.88648334627 5.81500606479 4.27748623202 
90.33333333333333 2.88069227303 66.0758417161 19.1282779949 2.00199059278 5.72790628765 4.18529113556 
94.83333333333333 2.84702835049 66.1277090645 19.1470693446 1.83402117541 5.68962046511 4.35455159987 
99.33333333333333 2.89047542282 66.1440419481 19.1579373384 1.95641185723 5.60480480617 4.24632862736 
103.83333333333333 2.85800839479 66.2027465022 19.1738820322 1.78497551485 5.56798408951 4.41240346638 
108.33333333333333 2.91304673864 66.2319016224 19.1815177378 1.90617470467 5.47080786099 4.29655133547 
112.83333333333333 2.94299911537 66.2656917532 19.1928828793 1.9202071879 5.39168304211 4.28653602214 
117.33333333333333 2.87569767691 66.3434040403 19.2092357722 1.65931831583 5.3826323833 4.52971181152 
121.83333333333333 2.94212027546 66.3514400797 19.2152257839 1.8057982159 5.29145046862 4.39396517641 
126.33333333333333 2.97082944303 66.3806943203 19.2192269105 1.83447171967 5.22931387759 4.36546372883 
130.83333333333334 2.90481844141 66.4515080931 19.2367504433 1.58965427257 5.22200329217 4.59526545742 
135.33333333333334 2.96061065136 66.450812791 19.238615146 1.72610284084 5.1563858787 4.46747269216 
139.83333333333334 2.9840985583 66.450822887 19.2491687552 1.75333623359 5.10947814851 4.45309541741 
144.33333333333334 2.9182060119 66.5287217289 19.2646661607 1.51887754516 5.10108278282 4.66844577054 
148.83333333333334 2.97336216793 66.5082224429 19.2726449666 1.65771167415 5.03721195561 4.55084679283 
153.33333333333334 2.99655466261 66.5241627491 19.2789103096 1.67865231302 4.98989113794 4.5318288277 
157.83333333333334 2.93079676061 66.6095235768 19.2914106253 1.45489326847 4.98332830135 4.73004746744 
162.33333333333334 2.98525391145 66.5709297353 19.3015436174 1.58775540903 4.93056206431 4.62395526248 
166.83333333333334 3.00967753498 66.5783726119 19.3049706734 1.60754130771 4.89161203794 4.60782583411 
171.33333333333334 2.94222689308 66.6794238011 19.3128289555 1.39322292325 4.88295140482 4.78934602229 
175.83333333333334 2.99471553542 66.6499334949 19.3142205012 1.5239239877 4.83799309337 4.67921338745 
180.33333333333334 2.98330009822 66.6829247964 19.3213913136 1.47775920688 4.8159567245 4.71866786033 
184.83333333333334 3.02292346893 66.7020652658 19.3131879771 1.55003380091 4.77328607204 4.63850341522 
189.33333333333334 2.97199646906 66.7506196024 19.3298914828 1.37372749076 4.766188082 4.80757687296 
193.83333333333334 3.01879575934 66.7367580711 19.3286746908 1.49015306236 4.72751211242 4.69810630404 
198.33333333333334 3.03445635077 66.7647807145 19.325357704 1.50914578289 4.69661849934 4.66964094847 
202.83333333333334 2.95321877942 66.8301842491 19.3485293233 1.29602140305 4.70252173253 4.86952451263 
207.33333333333334 3.01764386936 66.801049939 19.3448369033 1.4503126739 4.66170691618 4.7244496983 
211.83333333333334 3.03438285494 66.8211636327 19.3414008821 1.47130950159 4.63407349414 4.69766963453 
216.33333333333334 2.96279425093 66.8734515442 19.362196875 1.27307045979 4.6384932793 4.88999359082 
220.83333333333334 3.01225643214 66.8388531249 19.360851629 1.40920650438 4.60883566613 4.76999664346 
225.33333333333334 3.034415332 66.8462933305 19.3587337427 1.4485074677 4.58193854139 4.73011158569 
229.83333333333334 2.95836844145 66.9284364245 19.3734242032 1.24098169343 4.58379662462 4.91499261275 
234.33333333333334 2.9996671898 66.8901743148 19.3743795978 1.35246789164 4.56032643917 4.82298456676 
238.83333333333334 3.02181967409 66.8872637924 19.3740635437 1.39716963732 4.53952888698 4.78015446551 
